,Row ID,System Name,Host Name,Number of Planets,Stellar Parameter Reference,Stellar Effective Temperature [K],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio
1,3575,HD 1397,HD 1397,1,TICv8,5479.300+97.980-121.651,0.9600000+0.1587390-0.0902020,-0.020±0.090,[M/H]
1,3596,HD 141004,HD 141004,1,TICv8,5901.0000+96.5368-105.6500,1.070000+0.150706-0.120616,0.040±0.100,[M/H]
1,3619,HD 141399,HD 141399,4,TICv8,5539.000+156.765-123.033,0.9700000+0.1311950-0.1100000,0.32±0.10,[M/H]
1,3625,HD 141937,HD 141937,1,TICv8,5857.0000+108.7010-88.1762,1.060000+0.120657-0.150789,0.11±0.10,[M/H]
1,3643,HD 142,HD 142,3,TICv8,6251.990+105.965-100.875,1.210000+0.202461-0.136918,0.1057400±0.0097841,[M/H]
1,3663,HD 142022,HD 142022 A,1,TICv8,5497.840+110.687-100.220,0.96000000+0.14023900-0.09855410,0.1840980±0.0153644,[M/H]
1,3678,HD 142245,HD 142245,1,TICv8,4922.0±13.0,  ,0.17±0.06,[M/H]
1,3684,HD 142415,HD 142415,1,TICv8,5943.3200+190.5320-79.9562,1.0900000+0.1751720-0.0955678,0.1040680±0.0195283,[M/H]
1,3702,HD 143361,HD 143361,1,TICv8,5509.3000+138.6200-67.5162,0.9700000+0.1181940-0.1267310,0.22±0.03,[M/H]
1,3719,HD 145377,HD 145377,1,TICv8,5987.0400+126.6650-87.9682,1.100000+0.174474-0.110693,0.1087600±0.0125817,[M/H]
1,3725,HD 145457,HD 145457,1,TICv8,4807.1900±17.9754,  ,-0.1600000±0.0212132,[M/H]
1,3737,HD 145934,HD 145934,1,TICv8,4899.0±44.0,  ,0.15±0.03,[M/H]
1,3746,HD 1461,HD 1461,2,TICv8,5739.0000+94.1611-121.7830,1.030000+0.151820-0.109587,0.16±0.10,[M/H]
1,3791,HD 147513,HD 147513,1,TICv8,5873.470+109.808-103.132,1.060000+0.118300-0.136593,0.0441399±0.0070675,[M/H]
1,3798,HD 14787,HD 14787,1,TICv8,4946.0±25.0,  ,0±0,[M/H]
1,3815,HD 148156,HD 148156,1,TICv8,6178.5700+99.3618-124.0840,1.180000+0.205328-0.128296,0.25±0.05,[M/H]
1,3818,HD 148164,HD 148164,2,TICv8,6032.000+100.704-112.847,1.120000+0.144113-0.125472,0.21±0.10,[M/H]
1,3831,HD 149026,HD 149026,1,TICv8,6084.000+128.019-151.845,1.140000+0.174004-0.134794,0.33±0.10,[M/H]
1,3842,HD 149143,HD 149143,1,TICv8,5856.000+103.166-112.635,1.0600000+0.1755780-0.0901413,0.28±0.10,[M/H]
1,3850,HD 150010,HD 150010,1,TICv8,4307.1000±55.5044,  ,0.0516416±0.0082116,[M/H]
1,3852,HD 1502,HD 1502,1,TICv8,4947.0±25.0,  ,0.050±0.100,[M/H]
1,3858,HD 150706,HD 150706,1,TICv8,5948.000+163.683-123.703,1.090000+0.117914-0.154219,-0.010±0.100,[M/H]
1,3880,HD 152079,HD 152079,1,TICv8,5807.790+132.134-154.493,1.040000+0.138263-0.129057,0.29±0.02,[M/H]
1,3888,HD 152581,HD 152581,1,TICv8,5027.0±25.0,  ,-0.22±0.10,[M/H]
1,3899,HD 15337,HD 15337,2,TICv8,5175.2000+96.7336-117.2960,0.8800000+0.1340770-0.0870961,0.0600000±0.0212132,[M/H]
1,3906,HD 153950,HD 153950,1,TICv8,6019.870+159.927-119.492,1.110000+0.184554-0.112821,-0.0137821±0.0116686,[M/H]
1,3910,HD 154088,HD 154088,1,TICv8,5391.780+116.633-157.150,0.9400000+0.1240660-0.1103480,0.2901720±0.0181033,[M/H]
1,3932,HD 154345,HD 154345,1,TICv8,5455.000+153.386-128.733,0.9500000+0.1154760-0.1230180,-0.13±0.10,[M/H]
1,3942,HD 154672,HD 154672,1,TICv8,5743.000+103.523-100.561,1.030000+0.151547-0.103758,0.25±0.02,[M/H]
1,3951,HD 154857,HD 154857,2,TICv8,5604.560+150.292-132.276,0.9900000+0.1346350-0.1265380,-0.2236±0.0240,[M/H]
